,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
7749,,275237357.55802196,2771.337353137573,3134.8382368596936,5833.880055794726,145728717.99572927,,,,,,,
7769,,274827700.83302796,2763.4470661862497,3123.9342156209746,5763.495443533495,127935351.26237379,,,,,,,
7773,,274745769.4880291,2761.869008795986,3121.8303397664304,5749.418521081246,124376677.91570273,,,,,,,
7777,2867.7571845479993,,,,,,,,,,,,
7802,,274151767.2367878,2750.8108541375404,3106.5772398209874,5647.360833302457,98576296.1523373,,,,,,,
7850,,273168591.0968021,2732.507701599423,3081.3307295664586,5478.437763875497,92988158.59922087,,,,,,,
7870,,272758934.3718081,2724.8813880418747,3070.8113502937367,5411.985360302106,90659767.95208904,,,,,,,
7874,,272677003.0268093,2723.3561253303637,3068.874928400326,5398.694879587428,90194089.82266268,,,,,,,
7878,2837.825435117219,,,,,,,,,,,,
7903,,272083000.77556795,2713.8848487788623,3054.8358696730947,5302.33889440601,86817923.38432151,,,,,,,
7951,,271099824.6355823,2698.2082531074097,3031.598806952163,5142.853125829872,83514878.9624453,,,,,,,
7971,,270690167.91058826,2691.6763382443046,3021.916697485106,5086.585157732235,82138610.45333019,,,,,,,
7975,,270608236.5655894,2690.369955271684,3020.032729301092,5075.331564112708,81863356.75150716,,,,,,,
7979,2813.5179615077564,,,,,,,,,,,,
8000,,270096165.65934694,2683.4533951628882,3008.2579281509948,5004.996603990663,80143021.11511332,,,,,,,
8004,,270038156.03475165,2682.346745545481,3006.373959966981,4993.743010371135,79867767.41329028,,,,,,,
8052,,269342040.5396086,2669.066950136596,2983.7663417587955,4858.69988693681,75825538.58985569,,,,,,,
8072,,269051992.41663235,2663.53370204956,2974.346500838718,4816.104258807786,74141276.58009125,,,,,,,
8076,,268993982.79203707,2662.427052432153,2972.6594299417584,4807.585133181983,73804424.17813836,,,,,,,
8080,2792.0056342883486,,,,,,,,,,,,
8105,,268573413.0137215,2653.7871697432893,2960.4281659388053,4745.821472394899,71362244.26397996,,,,,,,
8153,,267877297.51857838,2639.486674258274,2940.183315175298,4643.591964885242,66723530.21711942,,,,,,,
